名称,営業日,住所,アクセス
BBQ&ビアガーデン ライフ,月～日、祝日、祝前日: 17:00～翌5:00 （料理L.O. 翌5:00 ドリンクL.O. 翌5:00）,東京都渋谷区宇田川町３２-６　長崎ビル４F　渋谷駅徒歩５分/HEROと同じフロアになります。,【★BBQ.女子会・誕生日・合コン・貸切に最適★】
渋谷肉横丁 肉のち晴れ,月～木、日、祝日、祝前日: 17:00～翌1:00 （料理L.O. 翌0:30 ドリンクL.O. 翌0:45）金、土: 17:00～翌3:00 （料理L.O. 翌2:30 ドリンクL.O. 翌2:45）,東京都渋谷区宇田川町13-8　千歳会館２F　渋谷肉横丁,東京メトロ，東急渋谷駅３ａ出口より徒歩3分の好立地★ちとせ会館2階にてお待ちしております。
大衆焼肉酒場 ホルモン けむり 渋谷 道玄坂店,月、火、日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）水～土: 17:00～翌6:00 （料理L.O. 翌5:00 ドリンクL.O. 翌5:30）,東京都渋谷区道玄坂１-5-4,各渋谷駅から徒歩3分
ホルモン酒場 煙 渋谷 道玄坂店,月、火、日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）水～土: 17:00～翌6:00 （料理L.O. 翌5:00 ドリンクL.O. 翌5:30）,東京都渋谷区道玄坂１-5-4,渋谷駅から徒歩3分！渋谷マークシティのすぐ側♪
Darts UP ダーツ アップ 渋谷駅前,月～日、祝日、祝前日: 17:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:30）,東京都渋谷区道玄坂１-3-1渋谷駅前会館(飯島ビル)B2F,渋谷駅より徒歩約2分
御八 渋谷駅前店,月～日、祝日、祝前日: 16:00～23:30 （料理L.O. 22:30 ドリンクL.O. 22:45）,東京都渋谷区道玄坂２－８－７　道玄坂ビルＢ１,ＪＲ渋谷駅ハチ公口徒歩3分　京王井の頭線渋谷駅西口徒歩1分
貸切パーティールーム DeBarge 渋谷駅,月～日、祝日、祝前日: 12:00～23:30 （料理L.O. 23:30 ドリンクL.O. 23:30）,東京都渋谷区道玄坂１－３－６　香山ビル７Ｆ,【渋谷駅から徒歩1分】貸切パーティー専門店（飲み放題＋料理付き）　http://www.debarge.jp/
DPS立川,月～日、祝日、祝前日: 18:00～翌5:00 （料理L.O. 翌3:30 ドリンクL.O. 翌4:30）,東京都立川市柴崎町３-3-7 山三電機ビル6階,ＪＲ立川駅南口より徒歩約2分！！駅近くの好立地★
串ばってん 渋谷店,月～日、祝日、祝前日: 12:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都渋谷区道玄坂１-11-3 B1,渋谷駅井の頭線西口1分/東京メトロ銀座線渋谷駅4分/ＪＲ渋谷駅西口5分/東京メトロ，東急渋谷駅4分
鳥世界 渋谷道玄坂店,月、日、祝日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）火～木、土: 17:00～翌6:00 （料理L.O. 翌5:00 ドリンクL.O. 翌5:00）金: 17:00～翌6:00 （料理L.O. 翌2:00 ドリンクL.O. 翌5:00）祝前日: 17:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:00）,東京都渋谷区道玄坂２-28-5 道玄坂SUNビル３F,渋谷駅ハチ公口徒歩3分。道玄坂の途中にあるロイヤルホストさんの先です。道案内など気兼ねなくお問い合わせください。
MAYAK POCHA マヤクポチャ 渋谷本店,月～木: 16:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）金: 16:00～翌4:00 （料理L.O. 翌3:30 ドリンクL.O. 翌3:30）土: 12:00～翌4:00 （料理L.O. 翌3:30 ドリンクL.O. 翌3:30）日、祝日: 12:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,東京都渋谷区宇田川町26-9 メトロビルB1階,渋谷駅ハチ公口徒歩3分バスケットボールストリート（渋谷センター街）通りの１階ウエンディーズ伸ビル2階
和牛焼肉食べ放題 肉屋の台所 渋谷宮益坂店,月～金、祝前日: 16:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）土、日、祝日: 12:00～15:00 （料理L.O. 14:30 ドリンクL.O. 14:30）16:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都渋谷区渋谷１-25-6　パークサイド共同ビル5F ,駅近！JR私鉄メトロ各線渋谷駅徒歩30秒/本格A5ランク黒毛和牛焼肉が食べ放題★個室4名様～8名様/貸切最大100名様OK！
ピザ&ワイン UeCONA ウエコナ 渋谷道玄坂離れ,月～日、祝日、祝前日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,東京都渋谷区道玄坂１丁目１７－９ヴェラハイツ道玄坂B１F,ＪＲ 渋谷駅 徒歩5分、地下鉄銀座線 渋谷駅 徒歩5分、地下鉄半蔵門線 渋谷駅 徒歩5分、京王井の頭線 渋谷駅 徒歩3分
ぷれみあむだいにんぐばー LUCE,月～日、祝日、祝前日: 15:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）,東京都渋谷区道玄坂１-13-2宝ビル2階,マークシティ徒歩1分☆京王井の頭線西口⇒ダイソーさん側の道路へ⇒坂少し上り第一宝ビル2階☆
LUXURY BAR PALACE パレス 渋谷駅前店,月～日、祝日、祝前日: 17:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）,東京都渋谷区渋谷１-25-6 渋谷パークサイド共同ビル4F,■JR渋谷駅ハチ公口徒歩30秒！宮下パーク入口ビル４階です！
北海道 渋谷駅前店,月～木: 11:30～14:30 （料理L.O. 14:00 ドリンクL.O. 14:00）16:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:45）金: 11:30～14:30 （料理L.O. 14:00 ドリンクL.O. 14:00）16:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:30）土: 16:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:30）日、祝日: 16:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:45）,東京都渋谷区渋谷１－２４－１０　渋谷全線座ビル３Ｆ,JR渋谷駅宮益坂口 徒歩1分/東急東横線渋谷駅宮益坂口 徒歩1分/東京メトロ副都心線渋谷駅 徒歩1分
牛タンと肉ずしの個室居酒屋 輝 渋谷駅前店,月～日、祝日、祝前日: 13:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,東京都渋谷区渋谷１-25-6 渋谷パークサイト共同ビル３階,渋谷駅ハチ公口より徒歩30秒/渋谷駅のガード真下のペッパーランチ隣のビル3階
あばれ鮮魚 渋谷店,月～日、祝日、祝前日: 12:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都渋谷区道玄坂１-11-3 B1F,渋谷駅井の頭線西口1分/東京メトロ銀座線渋谷駅4分/ＪＲ渋谷駅西口5分/東京メトロ，東急渋谷駅4分
肉寿司&チーズフォンデュ食べ飲み放題 リコピンモンスーン 渋谷店,月～日、祝日、祝前日: 11:00～15:00 （料理L.O. 14:00 ドリンクL.O. 14:30）17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都渋谷区渋谷３－１８－５ー３Ｆ,■ 渋谷駅徒歩5分※貸切など…無料下見だけも大歓迎♪路地裏に存在する隠れ家スポット★
LUXURY BAR&KARAOKE PALACE パレス 渋谷駅前店,月～日、祝日、祝前日: 17:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）,東京都渋谷区渋谷１-25-6 渋谷パークサイド共同ビル 4F,■JR渋谷駅ハチ公口徒歩30秒！宮下パーク入口ビル４階です！
海鮮居酒屋 はなの舞 渋谷並木橋店,月～金: 11:30～15:00 （料理L.O. 14:00 ドリンクL.O. 14:30）16:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）土、日、祝日: 15:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）,東京都渋谷区渋谷３-13-5イプセ渋谷2F,JR山手線渋谷駅東口徒歩5分
都会のオアシス カフェ ランチ huwadolo フワドロ 渋谷新南口,月～日、祝日、祝前日: 06:30～10:30 （料理L.O. 10:00 ドリンクL.O. 10:00）11:30～15:00 （料理L.O. 14:00 ドリンクL.O. 14:00）,東京都渋谷区渋谷３-２９-１７ ＪＲ東日本ホテルメッツ渋谷 ３F,ＪＲ渋谷駅新南口より徒歩約0分/東京メトロ，東急渋谷駅Ｃ２出口より徒歩約5分
鹿児島料理 丸万 東急プラザ 渋谷,月～日、祝日、祝前日: 11:00～23:00 （料理L.O. 22:15 ドリンクL.O. 22:15）,東京都渋谷区道玄坂１-2-3 東急プラザ6F,ＪＲ 渋谷駅 徒歩2分/地下鉄銀座線 渋谷駅 徒歩2分
渋谷 焼肉&肉寿司 まるきん食堂 渋谷並木橋店,月～金: 11:00～15:30 （料理L.O. 15:00 ドリンクL.O. 15:00）17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）土、日、祝日: 11:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都渋谷区渋谷３-15-4 アロス渋谷ビル １F,渋谷駅徒歩3分/渋谷駅から482m
和牛の神様 渋谷駅前,月～日、祝日: 11:00～15:00 （料理L.O. 14:00）17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:00）,東京都渋谷区道玄坂２-29-18 清水ビル2F,渋谷駅A2出口から徒歩1分/JR・東京メトロ・京王井の頭線など各線、渋谷駅より徒歩2～3分
土間土間 渋谷109横 渋谷文化村通り店,月～木: 16:00～翌2:00 （料理L.O. 翌1:00 ドリンクL.O. 翌1:30）金、祝前日: 16:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:00）土: 14:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:00）日、祝日: 14:00～翌2:00 （料理L.O. 翌1:00 ドリンクL.O. 翌1:30）,東京都渋谷区宇田川町26-2　サンルイビル6F,【渋谷駅徒歩2分】ＪＲ・地下鉄・東急東横線・京王井の頭線／109目の前ビル6F★渋谷　居酒屋　ご予約お気軽に★
De Salita デサリータ 渋谷,月～日: 11:30～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）,東京都渋谷区道玄坂２-3-1渋谷駅前ビルB１,渋谷駅各線から徒歩1分
ミュージック&ダーツ オラス渋谷店 MUSIC&DARTS OLAS▲H渋谷店,月～日、祝日、祝前日: 19:00～翌10:00 （料理L.O. 翌8:00 ドリンクL.O. 翌9:30）,東京都渋谷区道玄坂１-6-2 渋谷ファイブビル2F,渋谷駅徒歩2分！　アクセス抜群♪
Bar moon walk 渋谷宮益坂店(バームーンウォーク),月～日: 18:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）,東京都渋谷区渋谷１-9-8　センスビル9F,[250円バー　ムーンウォーク宮益坂店がリニューアルしてオープン!!!]JR 渋谷駅から徒歩５分/各線地下鉄渋谷駅徒歩5分
楽蔵 うたげ 渋谷駅前店,月～日、祝日、祝前日: 17:00～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）,東京都渋谷区渋谷１-24-12 渋谷東映プラザビル6Ｆ,JR 渋谷駅東口徒歩1分／地下鉄渋谷駅10番出口徒歩1分／銀座線・半蔵門線・副都心線渋谷駅宮益坂口出口 徒歩1分
カフェクロワ cafe croix 渋谷店,月～金: 12:00～23:00 （料理L.O. 21:00 ドリンクL.O. 22:00）土、日、祝日: 13:00～23:00 （料理L.O. 21:00 ドリンクL.O. 22:00）,東京都渋谷区渋谷３-18-5　佐藤エステートビル8F,ＪＲ渋谷駅東口/東京メトロ銀座線/東急東横線 渋谷駅徒歩2分　渋谷スクランブルスクエア側◆大人気バースデープレート♪
D.P.S　渋谷店,月～日、祝日、祝前日: 18:00～翌10:00 （料理L.O. 翌9:30 ドリンクL.O. 翌9:30）,東京都渋谷区宇田川町23-11　リエムビル　B1F,JR渋谷駅ハチ公前改札口より徒歩1分！スクランブル交差点を渡ってすぐの好立地★
焼肉 USHIHACHI 渋谷店,月～金: 11:00～15:30 （料理L.O. 15:00 ドリンクL.O. 15:00）17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）土、日、祝日: 11:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都渋谷区道玄坂２-3-1 渋谷駅前ビル　４F,東京メトロ、東急、京王井の頭線渋谷駅より徒歩約1分/ＪＲ、東京メトロ銀座線渋谷駅ハチ公口より徒歩約1分
LABOON ラブーン,月～木、祝日、祝前日: 11:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）金、土: 17:00～翌3:00 （料理L.O. 翌2:00 ドリンクL.O. 翌2:30）日: 17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:30）,東京都渋谷区道玄坂１丁目７－１,京王井の頭線渋谷駅井の頭線西口より徒歩約2分
CRAFT CHEESE MARKET 渋谷駅前店,月～金、祝前日: 11:30～15:30 （料理L.O. 15:00 ドリンクL.O. 15:00）16:30～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）土、日、祝日: 11:30～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）,東京都渋谷区宇田川町25-4 ダッキープラザ B1F,JR線「渋谷」駅ハチ公口から徒歩1分/◎渋谷センター街すぐ♪１F「椿屋カフェ」のビルの地下１F
鮮や一夜 渋谷駅前店,月～日、祝日、祝前日: 17:00～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）,東京都渋谷区渋谷１-24-12　渋谷東映プラザ6F,JR渋谷駅より徒歩1分　渋谷での各種宴会には交通アクセス抜群の駅チカ個室居酒屋 鮮や一夜を是非ご利用ください◎
串かつ酒場 ひろかつ 渋谷道玄坂店,月～金: 15:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）土、日、祝日: 12:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都渋谷区道玄坂１－５－４　昭力ビルＢ１Ｆ,各線渋谷駅から徒歩3分
完全個室　たれ焼肉金肉屋渋谷道玄坂PART２,月～金、祝前日: 17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）土、日、祝日: 12:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都渋谷区道玄坂２-18-6,東京メトロ，東急渋谷駅Ａ０出口より徒歩約6分/神泉駅から徒歩5分/神泉駅から273m
TEXMEX FACTORY 渋谷公園通り店,月～金: 11:30～15:0017:00～22:30土、日、祝日、祝前日: 11:30～22:30,東京都渋谷区神南１-19-3 ハイマンテン神南ビル2F,渋谷駅のハチ公口を出て、西武デパートの方向に進み、交差点2つめを左に曲がって少し歩いた右手2階にあります。 
韓国料理 允矢家,火～日: 16:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）祝日、祝前日: 16:00～翌0:00 （料理L.O. 23:30）,東京都渋谷区道玄坂２-26－16　GTスクエア1F,渋谷駅から徒歩５分神泉駅から414m
それゆけ!鶏ヤロー! 渋谷道玄坂店,月～木: 16:00～翌1:00 （料理L.O. 翌0:30 ドリンクL.O. 翌0:30）金、祝前日: 16:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）土、祝日: 15:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）日: 15:00～翌1:00 （料理L.O. 翌0:30 ドリンクL.O. 翌0:30）,東京都渋谷区道玄坂２丁目２５-１４ 2・3階 カネダイビル,東京メトロ，東急渋谷駅Ａ２出口・京王井の頭線渋谷駅井の頭線西口より徒歩約4分/ＪＲ渋谷駅ハチ公口より徒歩約7分
カオサン 渋谷宮益坂,月～金: 11:30～15:30 （料理L.O. 15:00 ドリンクL.O. 15:00）17:30～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）土: 12:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）日、祝日: 12:00～22:00 （料理L.O. 21:00 ドリンクL.O. 21:00）,東京都渋谷区渋谷１-8-5　小山ビル2F,【渋谷駅】『12出口』徒歩約4分 / 『宮益坂口出口』徒歩約5分
渋谷サカバ　渋谷センター街本店,月～金: 16:30～翌2:00 （料理L.O. 翌1:00 ドリンクL.O. 翌1:30）土、日: 14:30～翌2:00 （料理L.O. 翌1:00 ドリンクL.O. 翌1:30）祝日: 14:30～翌2:00 （料理L.O. 23:00 ドリンクL.O. 翌1:30）,東京都渋谷区宇田川町23-11 2F,東京メトロ，東急渋谷駅Ａ３ｂ出口より徒歩約0分
もつ焼き次世代 渋谷店,月～金、祝前日: 15:00～翌4:00 （料理L.O. 翌3:00 ドリンクL.O. 翌3:30）土、日、祝日: 13:00～翌4:00 （料理L.O. 翌3:00 ドリンクL.O. 翌3:30）,東京都渋谷区道玄坂２-25-17小島ビル１F ,東京メトロ，東急渋谷駅Ａ０出口より徒歩約3分/京王井の頭線渋谷駅井の頭線西口より徒歩約4分
Bar & Shisha Vedge バー アンド シーシャ ヴェッジ,月～日、祝日、祝前日: 18:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）,東京都渋谷区神南１-20-8　パークウェイテラス4F,渋谷駅より徒歩約5分/明治神宮前駅より徒歩約16分/代々木公園駅より徒歩約20分
山島屋 yamashimaya 渋谷店,月～木: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）金～日、祝日、祝前日: 16:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都渋谷区宇田川町26-4 Lu82ビル 4F,【個室喫煙OK】渋谷駅ハチ公口徒歩1分。文化村通りに入ってすぐのコンビニがあるビルの4階です。駅前での待合せも容易！
あくとり代官 鍋之進 渋谷,月～金、祝前日: 17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）土、日、祝日: 16:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,東京都渋谷区道玄坂１－５－２　渋谷ＳＥＤＥ３Ｆ,JR渋谷駅ハチ公出口　徒歩1分／地下鉄銀座線渋谷駅　徒歩1分／東急東横線渋谷駅　徒歩1分
和食個室居酒屋 鳥世界 渋谷本店,月、日、祝日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）火～土: 17:00～翌6:00 （料理L.O. 翌5:00 ドリンクL.O. 翌5:00）祝前日: 17:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:00）,東京都渋谷区道玄坂２-28-2 GMビル1階,渋谷駅ハチ公口徒歩3分。道玄坂の途中にあるロイヤルホストさんの先です。道案内など気兼ねなくお問い合わせください。
チルイン 渋谷センター街3号店,月～日、祝日、祝前日: 12:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:00）,東京都渋谷区宇田川町33-12 J＋RサイドRビル3F,渋谷駅A2出口から徒歩3分
&happy life アンドハッピーライフ,月～日、祝日、祝前日: 18:00～翌4:59 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）,東京都渋谷区道玄坂１-5-9 ザ・レンガビル４F-C,渋谷駅中央口より徒歩２分
